class,precision,recall,f1-score,support
Tomato___Bacterial_spot,0.9454545454545454,0.9454545454545454,0.9454545454545454,55.0
Tomato___Early_blight,0.8518518518518519,0.9583333333333334,0.9019607843137255,48.0
Tomato___Late_blight,0.9767441860465116,0.9767441860465116,0.9767441860465116,43.0
Tomato___Leaf_Mold,1.0,0.9636363636363636,0.9814814814814815,55.0
Tomato___Septoria_leaf_spot,0.9772727272727273,0.9347826086956522,0.9555555555555556,46.0
Tomato___Spider_mites Two-spotted_spider_mite,0.96,0.96,0.96,50.0
Tomato___Target_Spot,0.94,0.94,0.94,50.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9795918367346939,0.96,0.9696969696969697,50.0
Tomato___Tomato_mosaic_virus,1.0,0.9827586206896551,0.991304347826087,58.0
Tomato___healthy,1.0,1.0,1.0,45.0
macro avg,0.963091514736033,0.962170965785606,0.9622197870374876,500.0
weighted avg,0.963646052360338,0.962,0.9624233106857149,500.0
